YEAR,MONTH,PROV_ID,PROV_N,MinRain,MaxRain,AvgRain
2018,2,22,จันทบุรี,8.199999809,47.56999969,18.24
2018,2,23,ตราด,11.15999985,80.69999695,29.46
2018,2,24,ฉะเชิงเทรา,19.30999947,67.08999634,38.17
2018,2,25,ปราจีนบุรี,25.52000046,77,46.46
2018,2,26,นครนายก,43.86999893,74.38999939,55.11
2018,2,27,สระแก้ว,12,58.18999863,31.78
2018,2,30,นครราชสีมา,0.949999988,78.48999786,38.31
2018,2,31,บุรีรัมย์,0,34.84000015,7.67
2018,2,32,สุรินทร์,0,3.660000086,0.97
2018,2,33,ศรีสะเกษ,1.179999948,8.5,4.23
2018,2,34,อุบลราชธานี,0,28.84000015,4.44
2018,2,35,ยโสธร,3.269999981,46.06000137,16.56
2018,2,36,ชัยภูมิ,3.099999905,37.36999893,18.33
2018,2,37,อำนาจเจริญ,3.299999952,44.59000015,17.35
2018,2,38,บึงกาฬ,24.36000061,42.65999985,33.26
2018,2,39,หนองบัวลำภู,18.84000015,62.08000183,40.91
2018,2,40,ขอนแก่น,3.599999905,35.50999832,12.53
2018,2,41,อุดรธานี,7.03000021,59.09000015,25.43
2018,2,42,เลย,16.71999931,39.52000046,26.56
2018,2,43,หนองคาย,5.199999809,28.31999969,17.18
2018,2,44,มหาสารคาม,0.469999999,14.17000008,6.5
2018,2,45,ร้อยเอ็ด,0.419999987,39.63000107,9.38
2018,2,46,กาฬสินธุ์,7.949999809,50.47000122,24.31
2018,2,47,สกลนคร,27.44000053,67,45.51
2018,2,48,นครพนม,16.61000061,54.88999939,44
2018,2,49,มุกดาหาร,35.79000092,54.29999924,49.33
2018,2,50,เชียงใหม่,0,12.61999989,3.91
2018,2,51,ลำพูน,0.400000006,17.52000046,9.52
2018,2,52,ลำปาง,2.99000001,30.95000076,14.58
2018,2,53,อุตรดิตถ์,12.31000042,40.79000092,24.41
2018,2,54,แพร่,15.81000042,52.29000092,32
2018,2,55,น่าน,10.5,40.97999954,18.26
